iter	Passed	Remaining
0	5	5148
1	8	4369
2	12	4306
3	16	4186
4	20	4166
5	25	4144
6	29	4132
7	33	4112
8	37	4098
9	40	4048
10	45	4055
11	49	4060
12	53	4062
13	57	4074
14	62	4099
15	66	4093
16	71	4125
17	75	4126
18	79	4118
19	85	4180
20	90	4228
21	95	4240
22	99	4212
23	104	4231
24	110	4301
25	116	4371
26	121	4384
27	126	4388
28	130	4381
29	135	4394
30	139	4373
31	144	4361
32	148	4346
33	152	4332
34	156	4309
35	160	4292
36	164	4274
37	168	4267
38	172	4250
39	176	4241
40	180	4228
41	184	4219
42	188	4204
43	192	4193
44	196	4177
45	200	4167
46	204	4150
47	209	4149
48	213	4141
49	217	4136
50	221	4130
51	226	4125
52	230	4124
53	235	4128
54	240	4130
55	244	4127
56	249	4131
57	254	4133
58	259	4138
59	263	4128
60	268	4135
61	273	4130
62	277	4132
63	282	4134
64	287	4136
65	292	4139
66	296	4131
67	302	4143
68	307	4153
69	313	4160
70	318	4167
71	324	4186
72	330	4196
73	335	4200
74	344	4248
75	351	4274
76	357	4289
77	364	4308
78	370	4320
79	377	4338
80	383	4355
81	391	4387
82	403	4461
83	410	4474
84	420	4522
85	429	4566
86	441	4635
87	451	4679
88	459	4701
89	467	4728
90	476	4754
91	486	4797
92	494	4824
93	506	4882
94	514	4904
95	521	4910
96	527	4910
97	534	4919
98	545	4962
99	552	4968
100	558	4971
101	565	4980
102	571	4976
103	579	4991
104	586	4995
105	595	5024
106	603	5035
107	610	5044
108	616	5042
109	622	5039
110	631	5059
111	638	5063
112	643	5052
113	649	5047
114	657	5061
115	666	5077
116	673	5079
117	680	5090
118	689	5102
119	696	5105
120	705	5124
121	713	5134
122	717	5115
123	722	5101
124	726	5084
125	731	5075
126	736	5061
127	740	5043
128	745	5031
129	750	5021
130	754	5005
131	758	4990
132	764	4983
133	770	4976
134	775	4967
135	779	4950
136	783	4932
137	787	4921
138	792	4909
139	797	4897
140	801	4883
141	806	4873
142	811	4862
143	815	4849
144	820	4838
145	825	4828
146	829	4815
147	834	4801
148	838	4790
149	843	4778
150	847	4763
151	851	4750
152	856	4741
153	861	4730
154	865	4718
155	869	4705
156	874	4693
157	878	4679
158	882	4666
159	886	4656
160	891	4645
161	895	4632
162	901	4628
163	908	4630
164	913	4624
165	930	4675
166	945	4714
167	954	4725
168	958	4713
169	963	4701
170	967	4688
171	971	4675
172	976	4666
173	979	4651
174	984	4640
175	988	4629
176	992	4615
177	997	4604
178	1001	4593
179	1006	4584
180	1010	4574
181	1015	4564
182	1019	4551
183	1023	4540
184	1028	4529
185	1032	4516
186	1036	4506
187	1041	4497
188	1045	4487
189	1050	4476
190	1053	4464
191	1058	4456
192	1063	4446
193	1068	4437
194	1072	4428
195	1077	4417
196	1081	4407
197	1086	4398
198	1090	4390
199	1095	4380
200	1099	4368
201	1103	4359
202	1109	4354
203	1114	4349
204	1120	4343
205	1125	4336
206	1130	4328
207	1135	4322
208	1140	4317
209	1144	4306
210	1149	4298
211	1155	4293
212	1160	4288
213	1166	4283
214	1171	4277
215	1176	4270
216	1181	4262
217	1185	4252
218	1190	4245
219	1194	4234
220	1199	4228
221	1204	4221
222	1209	4213
223	1213	4204
224	1217	4194
225	1222	4185
226	1227	4179
227	1234	4179
228	1238	4171
229	1244	4166
230	1250	4163
231	1256	4157
232	1261	4154
233	1270	4160
234	1276	4154
235	1281	4147
236	1285	4138
237	1290	4131
238	1294	4122
239	1298	4113
240	1304	4106
241	1307	4096
242	1312	4087
243	1316	4079
244	1321	4072
245	1325	4063
246	1330	4057
247	1335	4049
248	1339	4040
249	1343	4031
250	1348	4023
251	1353	4016
252	1357	4007
253	1361	3999
254	1366	3992
255	1370	3983
256	1374	3974
257	1379	3966
258	1383	3959
259	1388	3953
260	1393	3945
261	1397	3937
262	1403	3931
263	1407	3922
264	1411	3914
265	1415	3905
266	1420	3900
267	1424	3891
268	1429	3883
269	1433	3876
270	1437	3867
271	1442	3860
272	1447	3853
273	1453	3850
274	1457	3842
275	1462	3836
276	1467	3829
277	1471	3820
278	1476	3814
279	1483	3815
280	1490	3814
281	1496	3811
282	1503	3808
283	1507	3801
284	1513	3797
285	1518	3791
286	1524	3787
287	1530	3783
288	1536	3780
289	1541	3775
290	1548	3771
291	1553	3765
292	1559	3762
293	1564	3757
294	1570	3752
295	1575	3746
296	1582	3745
297	1588	3742
298	1595	3739
299	1601	3735
300	1606	3729
301	1611	3723
302	1616	3718
303	1620	3710
304	1625	3704
305	1631	3699
306	1637	3695
307	1643	3692
308	1650	3691
309	1658	3690
310	1663	3685
311	1669	3681
312	1676	3679
313	1682	3676
314	1686	3668
315	1691	3662
316	1696	3656
317	1701	3649
318	1705	3641
319	1710	3635
320	1715	3628
321	1720	3622
322	1725	3616
323	1730	3609
324	1734	3602
325	1738	3594
326	1742	3587
327	1747	3579
328	1751	3571
329	1755	3564
330	1760	3557
331	1765	3551
332	1769	3544
333	1774	3538
334	1778	3529
335	1782	3522
336	1786	3514
337	1790	3506
338	1794	3499
339	1799	3492
340	1803	3484
341	1807	3477
342	1811	3469
343	1815	3462
344	1820	3456
345	1824	3449
346	1829	3443
347	1834	3436
348	1838	3429
349	1843	3422
350	1847	3415
351	1851	3407
352	1855	3401
353	1859	3393
354	1864	3387
355	1868	3380
356	1872	3373
357	1877	3366
358	1881	3358
359	1884	3350
360	1888	3343
361	1892	3335
362	1897	3329
363	1901	3322
364	1905	3315
365	1909	3307
366	1913	3300
367	1917	3293
368	1921	3285
369	1925	3278
370	1929	3272
371	1933	3264
372	1938	3258
373	1942	3251
374	1947	3245
375	1951	3238
376	1956	3232
377	1961	3227
378	1965	3221
379	1970	3214
380	1974	3207
381	1978	3200
382	1982	3193
383	1986	3187
384	1991	3180
385	1995	3174
386	1999	3167
387	2004	3161
388	2008	3155
389	2012	3147
390	2016	3141
391	2022	3136
392	2026	3130
393	2031	3124
394	2036	3118
395	2040	3112
396	2044	3105
397	2049	3099
398	2053	3093
399	2058	3087
400	2063	3081
401	2067	3076
402	2072	3069
403	2076	3063
404	2080	3057
405	2085	3050
406	2089	3044
407	2094	3039
408	2098	3032
409	2103	3027
410	2108	3021
411	2112	3014
412	2116	3008
413	2120	3001
414	2124	2995
415	2129	2989
416	2133	2982
417	2137	2976
418	2142	2971
419	2147	2965
420	2152	2960
421	2157	2955
422	2163	2950
423	2168	2945
424	2172	2939
425	2176	2932
426	2180	2926
427	2185	2920
428	2189	2914
429	2193	2908
430	2197	2901
431	2202	2895
432	2206	2889
433	2210	2883
434	2215	2877
435	2220	2872
436	2225	2867
437	2229	2860
438	2234	2855
439	2239	2849
440	2243	2843
441	2247	2837
442	2253	2832
443	2257	2826
444	2262	2821
445	2266	2815
446	2271	2810
447	2275	2803
448	2279	2797
449	2284	2791
450	2288	2786
451	2293	2780
452	2297	2774
453	2302	2768
454	2306	2762
455	2311	2757
456	2315	2751
457	2320	2745
458	2325	2740
459	2328	2733
460	2333	2728
461	2337	2722
462	2342	2716
463	2346	2710
464	2351	2705
465	2355	2698
466	2359	2693
467	2363	2687
468	2369	2683
469	2375	2678
470	2379	2672
471	2384	2667
472	2388	2661
473	2393	2655
474	2397	2650
475	2403	2646
476	2409	2642
477	2416	2638
478	2422	2634
479	2428	2631
480	2434	2626
481	2441	2623
482	2447	2619
483	2453	2615
484	2459	2611
485	2464	2606
486	2468	2600
487	2473	2595
488	2477	2589
489	2482	2584
490	2488	2579
491	2492	2573
492	2497	2567
493	2501	2561
494	2505	2556
495	2509	2549
496	2513	2543
497	2517	2537
498	2522	2532
499	2526	2526
500	2530	2520
501	2534	2513
502	2538	2507
503	2542	2501
504	2546	2495
505	2550	2490
506	2555	2485
507	2559	2478
508	2564	2473
509	2568	2467
510	2572	2461
511	2576	2456
512	2581	2450
513	2585	2444
514	2589	2439
515	2594	2433
516	2598	2427
517	2603	2422
518	2607	2416
519	2612	2411
520	2616	2405
521	2620	2399
522	2624	2393
523	2629	2388
524	2633	2382
525	2638	2377
526	2642	2371
527	2651	2370
528	2658	2366
529	2665	2363
530	2670	2358
531	2675	2353
532	2682	2350
533	2688	2346
534	2694	2341
535	2701	2338
536	2708	2335
537	2713	2330
538	2719	2326
539	2724	2321
540	2732	2318
541	2738	2314
542	2743	2308
543	2748	2303
544	2752	2298
545	2756	2292
546	2761	2287
547	2765	2281
548	2769	2275
549	2773	2269
550	2778	2264
551	2783	2259
552	2788	2254
553	2793	2248
554	2797	2242
555	2801	2237
556	2805	2231
557	2810	2226
558	2814	2220
559	2818	2214
560	2822	2209
561	2827	2203
562	2831	2197
563	2835	2192
564	2840	2186
565	2844	2181
566	2848	2175
567	2853	2169
568	2857	2164
569	2862	2159
570	2866	2153
571	2870	2148
572	2875	2142
573	2879	2137
574	2884	2131
575	2888	2125
576	2892	2120
577	2896	2114
578	2900	2109
579	2905	2103
580	2909	2098
581	2913	2092
582	2917	2086
583	2921	2081
584	2926	2076
585	2931	2071
586	2936	2065
587	2940	2060
588	2944	2054
589	2949	2049
590	2953	2043
591	2957	2038
592	2962	2032
593	2966	2027
594	2970	2021
595	2974	2016
596	2979	2011
597	2983	2005
598	2988	2000
599	2992	1995
600	2996	1989
601	3001	1984
602	3006	1979
603	3010	1974
604	3015	1968
605	3019	1963
606	3023	1957
607	3027	1952
608	3031	1946
609	3036	1941
610	3040	1936
611	3045	1930
612	3050	1925
613	3055	1921
614	3060	1915
615	3064	1910
616	3069	1905
617	3073	1899
618	3078	1894
619	3083	1889
620	3088	1884
621	3093	1879
622	3097	1874
623	3101	1869
624	3106	1864
625	3110	1858
626	3115	1853
627	3120	1848
628	3124	1843
629	3129	1837
630	3133	1832
631	3138	1827
632	3143	1822
633	3153	1820
634	3171	1823
635	3182	1821
636	3187	1816
637	3192	1811
638	3197	1806
639	3203	1801
640	3208	1796
641	3213	1791
642	3218	1786
643	3222	1781
644	3227	1776
645	3232	1771
646	3237	1766
647	3242	1761
648	3247	1756
649	3252	1751
650	3257	1746
651	3263	1741
652	3267	1736
653	3274	1732
654	3281	1728
655	3286	1723
656	3294	1719
657	3300	1715
658	3306	1710
659	3311	1706
660	3317	1701
661	3323	1696
662	3329	1692
663	3336	1688
664	3341	1683
665	3347	1678
666	3353	1674
667	3359	1669
668	3365	1665
669	3371	1660
670	3377	1656
671	3384	1651
672	3390	1647
673	3396	1642
674	3402	1638
675	3408	1633
676	3415	1629
677	3421	1625
678	3431	1622
679	3439	1618
680	3449	1616
681	3456	1611
682	3462	1607
683	3469	1603
684	3476	1598
685	3483	1594
686	3490	1590
687	3496	1585
688	3502	1580
689	3507	1575
690	3512	1570
691	3517	1565
692	3523	1560
693	3529	1556
694	3535	1551
695	3541	1546
696	3549	1542
697	3557	1539
698	3563	1534
699	3569	1529
700	3574	1524
701	3580	1519
702	3586	1515
703	3591	1510
704	3596	1504
705	3601	1499
706	3605	1494
707	3609	1488
708	3614	1483
709	3618	1478
710	3622	1472
711	3626	1466
712	3631	1461
713	3635	1456
714	3640	1451
715	3644	1445
716	3649	1440
717	3653	1435
718	3658	1429
719	3662	1424
720	3666	1418
721	3671	1413
722	3675	1408
723	3679	1402
724	3683	1397
725	3688	1391
726	3692	1386
727	3697	1381
728	3701	1375
729	3705	1370
730	3709	1364
731	3713	1359
732	3717	1354
733	3722	1348
734	3726	1343
735	3730	1338
736	3735	1332
737	3739	1327
738	3743	1322
739	3748	1316
740	3751	1311
741	3756	1306
742	3760	1300
743	3764	1295
744	3768	1289
745	3773	1284
746	3776	1279
747	3781	1273
748	3785	1268
749	3789	1263
750	3794	1258
751	3798	1252
752	3803	1247
753	3807	1242
754	3810	1236
755	3815	1231
756	3819	1225
757	3823	1220
758	3827	1215
759	3831	1209
760	3835	1204
761	3839	1199
762	3843	1193
763	3847	1188
764	3852	1183
765	3856	1178
766	3861	1172
767	3865	1167
768	3869	1162
769	3874	1157
770	3878	1151
771	3882	1146
772	3886	1141
773	3890	1136
774	3895	1131
775	3899	1125
776	3904	1120
777	3908	1115
778	3912	1110
779	3916	1104
780	3920	1099
781	3924	1094
782	3929	1089
783	3934	1083
784	3938	1078
785	3942	1073
786	3946	1068
787	3951	1063
788	3955	1057
789	3960	1052
790	3964	1047
791	3970	1042
792	3975	1037
793	3980	1032
794	3987	1028
795	3995	1023
796	4001	1019
797	4007	1014
798	4013	1009
799	4017	1004
800	4021	999
801	4025	993
802	4029	988
803	4034	983
804	4038	978
805	4043	973
806	4047	967
807	4052	962
808	4056	957
809	4060	952
810	4064	947
811	4069	942
812	4073	936
813	4078	931
814	4082	926
815	4086	921
816	4091	916
817	4095	911
818	4099	906
819	4103	900
820	4107	895
821	4111	890
822	4116	885
823	4121	880
824	4125	875
825	4129	869
826	4134	864
827	4139	859
828	4143	854
829	4147	849
830	4153	844
831	4157	839
832	4161	834
833	4165	829
834	4170	824
835	4174	818
836	4178	813
837	4183	808
838	4187	803
839	4191	798
840	4196	793
841	4200	788
842	4204	783
843	4208	777
844	4213	772
845	4217	767
846	4221	762
847	4225	757
848	4229	752
849	4234	747
850	4238	742
851	4243	737
852	4247	732
853	4252	727
854	4257	721
855	4261	716
856	4267	712
857	4271	706
858	4276	701
859	4281	696
860	4286	691
861	4291	687
862	4295	681
863	4300	676
864	4305	671
865	4309	666
866	4313	661
867	4317	656
868	4322	651
869	4326	646
870	4330	641
871	4335	636
872	4340	631
873	4344	626
874	4349	621
875	4353	616
876	4358	611
877	4362	606
878	4366	601
879	4370	595
880	4374	590
881	4379	585
882	4383	580
883	4388	575
884	4392	570
885	4397	565
886	4401	560
887	4405	555
888	4409	550
889	4414	545
890	4418	540
891	4422	535
892	4426	530
893	4431	525
894	4435	520
895	4439	515
896	4444	510
897	4449	505
898	4453	500
899	4457	495
900	4461	490
901	4465	485
902	4469	480
903	4474	475
904	4478	470
905	4482	465
906	4486	460
907	4490	455
908	4494	449
909	4499	444
910	4503	439
911	4507	434
912	4512	429
913	4516	424
914	4520	419
915	4524	414
916	4528	409
917	4533	404
918	4537	399
919	4541	394
920	4545	389
921	4549	384
922	4553	379
923	4557	374
924	4561	369
925	4566	364
926	4570	359
927	4575	354
928	4579	349
929	4583	345
930	4588	340
931	4592	335
932	4596	330
933	4600	325
934	4605	320
935	4609	315
936	4613	310
937	4618	305
938	4622	300
939	4627	295
940	4631	290
941	4635	285
942	4639	280
943	4644	275
944	4648	270
945	4653	265
946	4656	260
